antecedents;consequents;confidence;interestingness;support;isSymmetric;cluster;source;target
frozenset({'wood', 'Adansonia za'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'wood', 'radiocarbon dating'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'plant anatomy', 'Adansonia za'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'plant anatomy', 'radiocarbon dating'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'age determination', 'Adansonia'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia'});frozenset({'Adansonia za'})
frozenset({'age determination', 'plant anatomy'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'plant anatomy'});frozenset({'radiocarbon dating'})
frozenset({'Adansonia', 'radiocarbon dating'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'radiocarbon dating'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'wood'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'wood'});frozenset({'radiocarbon dating'})
frozenset({'Adansonia', 'plant anatomy'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'plant anatomy'});frozenset({'radiocarbon dating'})
frozenset({'wood', 'Adansonia'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia'});frozenset({'radiocarbon dating'})
frozenset({'palm oils', 'new products'});frozenset({'shredding'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'palm oils', 'new products'});frozenset({'shredding'})
frozenset({'Adansonia digitata', 'Adansonia rubrostipa'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia rubrostipa'});frozenset({'Adansonia za'})
frozenset({'plant anatomy', 'Adansonia rubrostipa'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'Adansonia rubrostipa'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'radiocarbon dating'})
frozenset({'wood', 'Adansonia rubrostipa'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia rubrostipa'});frozenset({'Adansonia za'})
frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'Adansonia za'})
frozenset({'age determination', 'wood'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'wood'});frozenset({'Adansonia za'})
frozenset({'Adansonia grandidieri', 'Adansonia za'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia grandidieri', 'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'Commelina', 'propagation by cuttings'});frozenset({'Commelinaceae'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'Commelina', 'propagation by cuttings'});frozenset({'Commelinaceae'})
frozenset({'age determination', 'wood'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'wood'});frozenset({'radiocarbon dating'})
frozenset({'age determination', 'plant anatomy'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'plant anatomy'});frozenset({'Adansonia za'})
frozenset({'age determination', 'Adansonia rubrostipa'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia rubrostipa'});frozenset({'Adansonia za'})
frozenset({'wood', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'})
frozenset({'age determination', 'Adansonia za'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia za'});frozenset({'radiocarbon dating'})
frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'plant anatomy', 'Adansonia grandidieri'});frozenset({'radiocarbon dating'})
frozenset({'wood', 'Adansonia grandidieri'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia grandidieri'});frozenset({'Adansonia za'})
