antecedents;consequents;confidence;interestingness;support;isSymmetric;cluster;lang;graph;source;target
frozenset({'radiocarbon dating', 'wood'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'wood'});frozenset({'Adansonia za'})
frozenset({'Adansonia za', 'wood'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia za', 'wood'});frozenset({'radiocarbon dating'})
frozenset({'Adansonia grandidieri', 'age determination'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia grandidieri', 'age determination'});frozenset({'Adansonia za'})
frozenset({'Adansonia', 'wood'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia', 'wood'});frozenset({'Adansonia za'})
frozenset({'plant anatomy', 'Adansonia'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'plant anatomy', 'Adansonia'});frozenset({'Adansonia za'})
frozenset({'Adansonia za', 'plant anatomy'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia za', 'plant anatomy'});frozenset({'radiocarbon dating'})
frozenset({'Adansonia', 'age determination'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia', 'age determination'});frozenset({'Adansonia za'})
frozenset({'Adansonia grandidieri', 'age determination'});frozenset({'radiocarbon dating'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Adansonia grandidieri', 'age determination'});frozenset({'radiocarbon dating'})
frozenset({'radiocarbon dating', 'Adansonia'});frozenset({'Adansonia za'});1.0;0.8333333238967965;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'Adansonia'});frozenset({'Adansonia za'})
frozenset({'tick-borne diseases', 'Ixodes ricinus'});frozenset({'Ixodes'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'tick-borne diseases', 'Ixodes ricinus'});frozenset({'Ixodes'})
frozenset({'tin', 'poultry'});frozenset({'organotin compounds'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'tin', 'poultry'});frozenset({'organotin compounds'})
frozenset({'seed production', 'sex differentiation'});frozenset({'female infertility'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'seed production', 'sex differentiation'});frozenset({'female infertility'})
frozenset({'Elaeis guineensis', 'sex differentiation'});frozenset({'female infertility'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'Elaeis guineensis', 'sex differentiation'});frozenset({'female infertility'})
frozenset({'radiocarbon dating', 'age determination'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'age determination'});frozenset({'Adansonia rubrostipa'})
frozenset({'radiocarbon dating', 'Adansonia digitata'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'Adansonia digitata'});frozenset({'Adansonia rubrostipa'})
frozenset({'radiocarbon dating', 'Adansonia'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'Adansonia'});frozenset({'Adansonia rubrostipa'})
frozenset({'radiocarbon dating', 'plant anatomy'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'plant anatomy'});frozenset({'Adansonia rubrostipa'})
frozenset({'radiocarbon dating', 'wood'});frozenset({'Adansonia rubrostipa'});1.0;0.7142857061972542;0.00023794793699138627;False;no_clustering;en;agrovoc;frozenset({'radiocarbon dating', 'wood'});frozenset({'Adansonia rubrostipa'})
frozenset({'vegetation', 'Rwanda'});frozenset({'high forest systems'});1.0;0.8571428454954745;0.0002855375243896635;False;no_clustering;en;agrovoc;frozenset({'vegetation', 'Rwanda'});frozenset({'high forest systems'})
